JSF P/N,MFR P/N,NOMENCLATURE,SMR,EEL,TURN-IN,SERIALZED
32589,32589,PLATE SPRNG RETAIN,PAOZZN,NO,NO,NO
34012,34012,CONNECTOR MMP FEMAL,PAOZZN,NO,NO,NO
34016,34016,"OHM LOAD, 50",PAOZZN,NO,NO,NO
34034,34034,CONNECTOR,PAOZZN,NO,NO,NO
34035,34035,CONNECTOR,PAOZZN,NO,NO,NO
34038,34038,CONNECTOR,PAOZZN,NO,NO,NO
34039,34039,CONNECTOR,PAOZZN,NO,NO,NO
34050,34050,DUMMY LOAD,PAOZZN,NO,NO,NO
34501,34501,SHELL 34501,PAOZZN,NO,NO,NO
34502,34502,"CONNECTOR, RECEPTAC",PAOZZN,NO,NO,NO
34507,34507,MULTIPORT CONNECTOR,PAOZZN,NO,NO,NO
34508,34508,CONNECTOR,PAOZZN,NO,NO,NO
34510,34510,BACKSHELL,PAOZZN,NO,NO,NO
34517,34517,"SHELL, CONNECTOR",PAOZZN,NO,NO,NO
34544,34544,RF INSERT,PAOZZN,NO,NO,NO
34574,34574,CONNECTOR,PAOZZN,NO,NO,NO
34823,34823,GREASE SEAL,PAOZZN,NO,NO,NO
36240,36240,SEAL-OIL,PAOZZN,NO,NO,NO
36366,36366,AXLE SEAL,PAOZZN,NO,NO,NO
36847,36847,STUB-HUB,PAOZZN,NO,NO,NO
37959,37959,"FIBER PATCH CABLE,",PAOZZN,NO,NO,NO
38103,38103,VALVE ANGLE,PAOZZN,NO,NO,NO
39442,39442,FUEL FILTER FINAL,PAOZZN,NO,NO,NO
39697,39697,COVER GASKET,PAOZZN,NO,NO,NO
45220,45220,BEARING CUP,PAOZZN,NO,NO,NO
46660,46660,HUB & BRAKE DRUM AS,PAOZZN,NO,NO,NO
46787,46787,PIN HINGE,PAOZZN,NO,NO,NO
47209,47209,NUT HEX JAM LH,PAOZZN,NO,NO,NO
47210,47210,NUT HEX JAM RH,PAOZZN,NO,NO,NO
47514,47514,CONNECTOR,PAOZZN,NO,NO,NO
47521,47521,FRONT END,PAOZZN,NO,NO,NO
47532,47532,CONNECTOR,PAOZZN,NO,NO,NO
47537,47537,137 BULLET - SMA FM,PAOZZN,NO,NO,NO
47541,47541,CONNECTOR,PAOZZN,NO,NO,NO
47553,47553,CONNECTOR,PAOZZN,NO,NO,NO
47566,47566,CONNECTOR,PAOZZN,NO,NO,NO
47570,47570,CONNECTOR,PAOZZN,NO,NO,NO
47590,47590,"ADAPTER,MALE TO FEM",PAOZZN,NO,NO,NO
47611,47611,CONNECTOR,PAOZZN,NO,NO,NO
47940,47940,CONNECTOR,PAOZZN,NO,NO,NO
48026,48026,TIRE/WHEEL ASSY,PAOZZN,NO,NO,NO
48421,48421,TACHOMETER,PAOZZN,NO,NO,NO
48801,48801,CONNECTOR,PAOZZN,NO,NO,NO
48803,48803,TIP (TIMES VENDOR P,PAOZZN,NO,NO,NO
48805,48805,CONNECTOR,PAOZZN,NO,NO,NO
48806,48806,CONNECTOR,PAOZZN,NO,NO,NO
48813,48813,CONNECTOR,PAOZZN,NO,NO,NO
48814,48814,CONNECTOR,PAOZZN,NO,NO,NO
48877,48877,CONNECTOR,PAOZZN,NO,NO,NO
48881,48881,"ADAPTER, SWIVEL",PAOZZN,NO,NO,NO
48882,48882,CONNECTOR,PAOZZN,NO,NO,NO
48883,48883,CONNECTOR,PAOZZN,NO,NO,NO
51009,51009,LATCH PEDAL,PAOZZN,NO,NO,NO
52458,52458,CAP,PAOZZN,NO,NO,NO
55120,55120,AIR VENT ASSY,PAOZZN,NO,NO,NO
55148,55148,SET SCREW,PAOZZN,NO,NO,NO
55153,55153,GUIDE,PAOZZN,NO,NO,NO
55490,55490,"PLACARD, AIR VENT",PAOZZN,NO,NO,NO
55994,55994,"STICKER, FLUID",PAOZZN,NO,NO,NO
55998,55998,"STICKER, MALABAR",PAOZZN,NO,NO,NO
57213,57213,TAPE MEAS 25FT,PAOZZN,NO,NO,NO
58705,58705,"FILTER, TRANS",PAOZZN,NO,NO,NO
60042,60042,"INNERTUBE, PNEUM",PAOZZN,NO,NO,NO
60593,60593,TOWBAR WELDMENT,PAOZZN,NO,NO,NO
61523,61523,PRECLEANER W/CLAMP,PAOZZN,NO,NO,NO
62504,62504,LABEL HOT SURFACE,PAOZZN,NO,NO,NO
65206,65206,BASE,XAKZZS,NO,NO,NO
